datum,ort,neuPositiv,inzidenz7tage
2022-02-03,Anzing,10,1489.84
2022-02-04,Anzing,8,1286.68
2022-02-05,Anzing,13,1376.98
2022-02-06,Anzing,4,1309.26
2022-02-07,Anzing,9,1399.55
2022-02-08,Anzing,17,1557.56
2022-02-09,Anzing,11,1625.28
2022-02-10,Anzing,8,1580.14
2022-02-11,Anzing,14,1715.58
2022-02-12,Anzing,10,1647.86
2022-02-13,Anzing,2,1602.71
2022-02-14,Anzing,4,1489.84
2022-02-15,Anzing,11,1354.4
2022-02-16,Anzing,8,1286.68
2022-02-17,Anzing,9,1309.26
2022-02-18,Anzing,10,1218.96
2022-02-19,Anzing,5,1106.09
2022-02-20,Anzing,5,1173.81
2022-02-21,Anzing,6,1218.96
2022-02-22,Anzing,9,1173.81
2022-02-23,Anzing,10,1218.96
2022-02-24,Anzing,6,1151.24
2022-02-25,Anzing,4,1015.8
2022-02-26,Anzing,6,1038.37
2022-02-27,Anzing,11,1173.81
2022-02-28,Anzing,5,1151.24
2022-03-01,Anzing,5,1060.95
2022-03-02,Anzing,14,1151.24
2022-03-03,Anzing,23,1534.99
2022-03-04,Anzing,9,1647.86
2022-03-05,Anzing,13,1805.87
2022-03-06,Anzing,7,1715.58
2022-03-07,Anzing,17,1986.46
2022-03-08,Anzing,25,2437.92
2022-03-09,Anzing,7,2279.91
2022-03-10,Anzing,21,2234.76
2022-03-11,Anzing,7,2189.62
2022-03-12,Anzing,18,2302.48
2022-03-13,Anzing,5,2257.34
2022-03-14,Anzing,4,1963.88
2022-03-15,Anzing,22,1896.16
2022-03-16,Anzing,23,2257.34
2022-03-17,Anzing,15,2121.9
2022-03-18,Anzing,15,2302.48
2022-03-19,Anzing,10,2121.9
2022-03-20,Anzing,2,2054.18
2022-03-21,Anzing,11,2212.19
2022-03-22,Anzing,24,2257.34
2022-03-23,Anzing,37,2573.36
2022-03-24,Anzing,28,2866.82
2022-03-25,Anzing,15,2866.82
2022-03-26,Anzing,17,3024.83
2022-03-27,Anzing,12,3250.56
2022-03-28,Anzing,4,3092.55
2022-03-29,Anzing,20,3002.26
2022-03-30,Anzing,20,2618.51
2022-03-31,Anzing,12,2257.34
2022-04-01,Anzing,8,2099.32
2022-04-02,Anzing,6,1851.02
2022-04-03,Anzing,7,1738.15
2022-04-04,Anzing,4,1738.15
2022-04-05,Anzing,11,1534.99
2022-04-06,Anzing,12,1354.4
2022-04-07,Anzing,16,1444.7
2022-04-08,Anzing,15,1602.71
2022-04-09,Anzing,5,1580.14
2022-04-10,Anzing,6,1557.56
2022-04-11,Anzing,8,1647.86
2022-04-12,Anzing,13,1693.0
2022-04-13,Anzing,8,1602.71
2022-04-14,Anzing,17,1625.28
2022-04-15,Anzing,2,1331.83
2022-04-16,Anzing,1,1241.53
2022-04-17,Anzing,2,1151.24
2022-04-18,Anzing,2,1015.8
2022-04-19,Anzing,5,835.21
2022-04-20,Anzing,9,857.79
2022-04-21,Anzing,6,609.48
2022-04-22,Anzing,7,722.35
2022-04-23,Anzing,3,767.49
2022-04-24,Anzing,1,744.92
2022-04-25,Anzing,4,790.07
2022-04-26,Anzing,12,948.08
2022-04-27,Anzing,4,835.21
2022-04-28,Anzing,5,812.64
2022-04-29,Anzing,6,790.07
2022-04-30,Anzing,0,722.35
2022-05-01,Anzing,0,699.77
2022-05-02,Anzing,6,744.92
