datum,einrichtung,geschlecht,erstimpfungen,zweitimpfungen,drittimpfungen
2021-10-11,Impfzentrum,Weiblich,28209,26105,343
2021-10-11,Impfzentrum,Maennlich,24774,23007,315
2021-10-11,Impfzentrum,Divers,25,20,0
2021-10-12,Impfzentrum,Weiblich,28227,26147,369
2021-10-12,Impfzentrum,Maennlich,24798,23046,335
2021-10-12,Impfzentrum,Divers,25,20,0
2021-10-13,Impfzentrum,Weiblich,28253,26190,414
2021-10-13,Impfzentrum,Maennlich,24829,23097,367
2021-10-13,Impfzentrum,Divers,25,20,0
2021-10-14,Impfzentrum,Weiblich,28270,26227,431
2021-10-14,Impfzentrum,Maennlich,24847,23130,384
2021-10-14,Impfzentrum,Divers,25,20,0
2021-10-15,Impfzentrum,Weiblich,28302,26301,446
2021-10-15,Impfzentrum,Maennlich,24886,23211,401
2021-10-15,Impfzentrum,Divers,25,20,0
2021-10-16,Impfzentrum,Weiblich,28320,26336,451
2021-10-16,Impfzentrum,Maennlich,24918,23261,407
2021-10-16,Impfzentrum,Divers,25,20,0
2021-10-17,Impfzentrum,Weiblich,28322,26338,451
2021-10-17,Impfzentrum,Maennlich,24921,23261,409
2021-10-17,Impfzentrum,Divers,25,20,0
2021-10-18,Impfzentrum,Weiblich,28337,26365,463
2021-10-18,Impfzentrum,Maennlich,24926,23286,425
2021-10-18,Impfzentrum,Divers,25,20,0
